F00000,12,2,M,P00014,F,81.68054280222412
F00000,12,2,O,P00340,F,2.634220032046781
F00001,4,4,M,P00099,M,80.34541672641917
F00001,4,4,S,P00193,F,67.65469776223824
F00001,4,4,P,P00418,M,87.97653361087218
F00001,4,4,P,P00927,F,94.35979911672383
F00002,1,5,M,P00011,M,73.99137292923058
F00002,1,5,S,P00613,F,71.97389962209171
F00002,1,5,C,P00808,M,36.040866170345744
F00002,1,5,C,P00982,M,38.25500689371891
F00002,1,5,C,P00254,M,36.37771183252082
F00003,0,2,M,P00005,M,60.020266332183105
F00003,0,2,S,P00439,F,54.833060804900974
F00004,0,2,M,P00022,M,77.38638296949766
F00004,0,2,S,P00892,F,80.82455332610346
F00005,1,4,M,P00000,M,49.49003059376789
F00005,1,4,S,P00191,F,48.08728050014906
F00005,1,4,C,P00890,M,20.281134686131324
F00005,1,4,C,P00155,M,14.527420692413136
F00006,15,1,M,P00008,M,31.8592053739244
F00007,1,3,M,P00024,M,28.688693926772338
F00007,1,3,S,P00818,F,25.673795497451998
F00007,1,3,C,P00095,M,0.24475776045337316
F00008,1,3,M,P00003,M,40.03467673739862
F00008,1,3,S,P00547,F,45.11886455233296
F00008,1,3,C,P00762,M,13.345431142582548
F00009,0,2,M,P00023,M,70.48311488270757
F00009,0,2,S,P00658,F,73.89533509329772
F00010,15,1,M,P00040,M,25.049765044434565
F00011,15,1,M,P00004,F,58.86548250433028
F00012,15,1,M,P00009,M,54.887621485582784
F00013,0,2,M,P00035,M,68.02410015058442
F00013,0,2,S,P00492,F,70.58593845404334
F00014,0,2,M,P00076,M,53.32575649594292
F00014,0,2,S,P00444,F,49.48874981479299
F00015,2,2,M,P00303,M,80.7998345942446
F00015,2,2,C,P00847,M,55.62710745725305
F00016,15,1,M,P00030,M,61.95194035576753
F00017,15,1,M,P00336,M,81.7121750319831
F00018,15,1,M,P00017,F,28.618525731315366
F00019,15,1,M,P00002,F,67.64965005076851
F00020,8,3,M,P00042,M,68.2508776082486
F00020,8,3,S,P00607,F,69.51161297123822
F00020,8,3,O,P00897,F,86.0385543730036
F00021,15,1,M,P00012,M,24.375683991576853
F00022,1,4,M,P00032,M,30.069066358472302
F00022,1,4,S,P00999,F,31.845451166148123
F00022,1,4,C,P00487,F,1.7914195880853034
F00022,1,4,C,P00188,M,3.690427286693074
F00023,12,2,M,P00057,M,72.90155300540061
F00023,12,2,O,P00664,M,1.1256039408568106
F00024,0,2,M,P00066,M,68.91388152708848
F00024,0,2,S,P00452,F,65.93246162121818
F00025,0,2,M,P00092,M,66.68779994794639
F00025,0,2,S,P00473,F,65.98833364793636
F00026,1,3,M,P00015,M,58.92733857285569
F00026,1,3,S,P00767,F,52.741475273008575
F00026,1,3,C,P00800,M,26.818476121407397
F00027,15,1,M,P00094,M,33.01103608928063
F00028,15,1,M,P00037,M,45.354377279847114
F00029,15,1,M,P00043,F,77.26368106479013
F00030,1,3,M,P00061,M,44.111570172930385
F00030,1,3,S,P00913,F,39.61921915766756
F00030,1,3,C,P00663,F,13.468752141013672
F00031,0,2,M,P00010,M,92.60531684528968
F00031,0,2,S,P00085,F,88.01806535693716
F00032,0,2,M,P00038,M,61.2214072108354
F00032,0,2,S,P00792,F,56.7276243375938
F00033,1,3,M,P00055,M,48.598894772549656
F00033,1,3,S,P00315,F,47.324665591160205
F00033,1,3,C,P00200,F,15.895882524041324
F00034,0,2,M,P00050,M,60.70612637608167
F00034,0,2,S,P00237,F,52.968624253435266
F00035,12,2,M,P00104,F,61.54109610585606
F00035,12,2,O,P00989,M,3.564142647971163
F00036,15,1,M,P00031,F,69.19449019512233
F00037,15,1,M,P00197,M,65.08671277110594
F00038,0,2,M,P00069,M,78.09108951691553
F00038,0,2,S,P00304,F,78.08103315275244
F00039,15,1,M,P00101,M,42.116653235290784
F00040,15,1,M,P00025,M,55.79656624359267
F00041,15,1,M,P00139,F,62.49535659858307
F00042,15,1,M,P00020,F,74.11955978447004
F00043,15,1,M,P00016,M,15.274020002853128
F00044,1,3,M,P00198,M,65.27486924495255
F00044,1,3,S,P00853,F,66.25827696058445
F00044,1,3,C,P00483,F,35.20577026795473
F00045,15,1,M,P00064,F,84.82134447618033
F00046,0,2,M,P00102,M,74.62701151499326
F00046,0,2,S,P00410,F,77.28188209973462
F00047,15,1,M,P00074,F,69.35637149341764
F00048,1,5,M,P00117,M,43.46615008386468
F00048,1,5,S,P00898,F,49.36534924195454
F00048,1,5,C,P00019,F,17.753752232080355
